indicator_id,category,level,name,applies_to,source,required_data,calculation_logic,coach_analyst_value,priority,limitations_or_notes,recommended_access,implementation_phase,data_dependency,min_sample_matches,source_document
IND-001,individual_metric,player,KDA,Ambos,API + cálculo,"Kills, deaths, assists","(K+A)/max(1,D). Guardar también K, D, A por separado.",Lectura rápida de impacto/supervivencia. En rival ayuda a detectar jugadores que snowballean o mueren poco.,Alta,No comparar roles directamente; support/tank puede tener KDA distinto por función.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-002,individual_metric,player,Kill Participation %,Ambos,API + cálculo,"Kills/assists del jugador, kills del equipo","(K+A)/teamKills. Si teamKills=0, marcar N/A.",Mide presencia real en acciones del equipo. En rivals identifica quién participa más en jugadas.,Alta,Puede ser bajo en split-pushers o roles de presión lateral.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-003,individual_metric,player,Death Share %,Ambos,API + cálculo,"Deaths jugador, deaths equipo",playerDeaths/teamDeaths.,"Detecta concentración de muertes. Para rival, ayuda a identificar el objetivo más castigable.",Alta,No todas las muertes son malas; requiere contexto y rol.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-004,individual_metric,player,Kills Share %,Ambos,API + cálculo,"Kills jugador, kills equipo",playerKills/teamKills.,Identifica carry real o jugador que convierte peleas. En rival marca amenazas de ejecución.,Media,Puede sobrevalorar jugadores que solo rematan.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-005,individual_metric,player,Gold per Minute,Ambos,API + cálculo,"Oro total, duración",totalGold / matchMinutes.,Mide economía y escalado. En rival detecta quién recibe recursos y timing de power spike.,Alta,Debe compararse por rol y héroe.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-006,individual_metric,player,CS/Farm per Minute,Ambos,API + cálculo,"Last hits/farm, duración",farm / matchMinutes.,Evalúa eficiencia de línea/jungla. En rival muestra laners sólidos o junglas eficientes.,Alta,No aplicarlo igual a support.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-007,individual_metric,player,Damage per Minute a héroes,Ambos,API + cálculo,"Daño total a héroes, duración",heroDamage / matchMinutes.,Mide presión ofensiva. En rival identifica fuentes principales de daño.,Alta,Daño alto no implica daño útil.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-008,individual_metric,player,Damage Share %,Ambos,API + cálculo,"Daño jugador, daño total equipo",playerHeroDamage/teamHeroDamage.,Identifica dependencia ofensiva. En rival ayuda a definir foco de bans/engage.,Alta,Puede estar inflado por poke sin conversión.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-009,individual_metric,player,Damage Taken per Minute,Ambos,API + cálculo,"Daño recibido, duración",damageTaken/matchMinutes.,"Valora frontline, exposición y aguante. En rival detecta tanque principal o jugador que absorbe presión.",Media,Debe leerse con mitigation y deaths.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-010,individual_metric,player,Damage Taken Share %,Ambos,API + cálculo,Daño recibido jugador/equipo,playerDamageTaken/teamDamageTaken.,Mide quién absorbe daño. Útil para evaluar offlane/support/tank y preparar focus rival.,Media,No indica si el daño absorbido fue correcto.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-011,individual_metric,player,Damage Mitigated per Minute,Ambos,API + cálculo,"Daño mitigado, duración",damageMitigated/matchMinutes.,Evalúa builds defensivas y valor de frontliners. En rival identifica héroes difíciles de bajar.,Media,Depende de héroe/build.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-012,individual_metric,player,Healing + Shielding per Minute,Ambos,API + cálculo,"Curación, escudos, duración",(healing + shields)/matchMinutes.,Mide valor de sustain/protección. En rival alerta sobre supports o comps de sustain.,Media,No todos los supports curan/escudan.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-013,individual_metric,player,Structure Damage per Minute,Ambos,API + cálculo,"Daño a estructuras, duración",structureDamage/matchMinutes.,Detecta presión de torres y split push. En rival identifica jugadores que castigan mapa.,Alta,Requiere cruzar con objetivos y resultado.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-014,individual_metric,player,Objective Damage per Minute,Ambos,API + cálculo,"Daño a objetivos, duración",objectiveDamage/matchMinutes.,Muy útil para jungla/carry: participación real en Fangtooth/Prime. En rival indica quién acelera objetivos.,Alta,No equivale a secure.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-015,individual_metric,player,Wards Placed per Minute,Ambos,API + cálculo,"WardPlacement por jugador, duración","wardsPlaced/matchMinutes, segmentado por tipo.",Mide hábito de visión. En rival muestra supports/junglas con fuerte control de mapa.,Alta,Cantidad no implica calidad.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
IND-016,individual_metric,player,Wards Destroyed per Minute,Ambos,API + cálculo,"WardDestruction por jugador, duración","wardsDestroyed/matchMinutes, segmentado por tipo.",Mide limpieza de visión. En rival ayuda a saber si nos van a negar setup.,Alta,Necesita contexto de zonas/objetivos.,Staff + equipo,1,basic_stats,5,Predecessor_Marcadores_Analisis_API_Heatmaps_v2.docx
